Reference,Species,Average mass (kg),Location,sample size,estimated dead,estimated survived,survival est,SE,95% CI (lower),95% CI (upper),sex,age,Group,Method,survival estimate type,death type,notes
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Eskdale, Scotland",40,17,23,0.65,0.082,,,female,sixth year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Eskdale, Scotland",22,11,11,0.591,0.103,,,female,seventh year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Eskdale, Scotland",14,7,7,0.502,0.151,,,female,eighth year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Eskdale, Scotland",8,5,3,0.402,0.16,,,female,ninth and older,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Annandale, Scotland",53,31,22,0.501,0.089,,,female,second year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Annandale, Scotland",100,46,54,0.658,0.063,,,female,third year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Annandale, Scotland",93,34,59,0.773,0.066,,,female,fourth year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Annandale, Scotland",60,33,27,0.527,0.068,,,female,fifth year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Annandale, Scotland",33,14,19,0.663,0.09,,,female,sixth year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Annandale, Scotland",19,9,10,0.571,0.122,,,female,seventh year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Annandale, Scotland",11,7,4,0.362,0.152,,,female,eighth year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Annandale, Scotland",4,2,2,0.645,0.261,,,female,ninth and older,,3,apparent,indirect,
Kenward (1999),Northern Goshawk Accipiter gentilis,7.6,"Gotland, Sweden",133,19,114,0.83,0.09,,,both,third year and over,,5,unknown true,indirect,
Klaassen et al. (2014),Western Marsh Harrier Circus aeruginosus,4,W. Europe,17,15,2,0.56,,,,,adult,,5,unknown true,indirect,
Picozzi (1984),Hen/Northern Harrier Circus cyaneus,4.4,Scotland,27,8,19,0.72,0.07,,,male,second to sixth year,,3,apparent,indirect,Ibis in library
Picozzi (1984),Hen/Northern Harrier Circus cyaneus,4.4,Scotland,68,7,61,0.9,0.03,,,female,second to sixth year,,3,apparent,indirect,Ibis in library
Etheridge et al. (1997),Hen/Northern Harrier Circus cyaneus,4.4,Scotland,39,24,15,0.397,,0.244,0.6,,adult,Grouse moorland,3,apparent,indirect,first to sixth year considered adult
Etheridge et al. (1997),Hen/Northern Harrier Circus cyaneus,4.4,Scotland,27,9,18,0.778,,0.57,0.903,,adult,Other moorland,3,apparent,indirect,
Millon & Bretagnolle (2008),Montagu's Harrier Circus pygargus,3.1,France,174,61,113,0.65,0.04,,,,adult,,3,apparent,indirect,potentially >4 years old
Klaassen et al (2014),Montagu's Harrier Circus pygargus,3.1,Europe,34,25,9,0.59,,,,,adult,,5,unknown true,indirect,
Smart et al. (2010),Red Kite Milvus milvus,1.05,Scotland,609,79,530,0.87,0.12,,,,adult,wild,3,apparent,indirect,
Smart et al. (2010),Red Kite Milvus milvus,1.05,Scotland,93,14,79,0.85,0.2,,,,adult,released,3,apparent,indirect,
Tavecchia et al. (2012),Red Kite Milvus milvus,1.05,Mallorca,142,51,91,0.77,0.03,,,,second year and over,,3,apparent,indirect,
Tenan et al. (2012),Red Kite Milvus milvus,1.05,Spain,142,15,127,0.955,,0.904,0.989,,second year and over,,6,TRUE,direct,
Saurola et al. (2003),White-tailed Eagle Haliaeetus albicilla,4.25,Finland,2500,335,2165,0.715,0.046,,,,sixth year and older,,3,apparent,indirect,in lib
Evans et al. (2009),White-tailed Eagle Haliaeetus albicilla,4.25,Scotland,28,2,26,0.942,0.022,,,,adult,released,3,apparent,indirect,
Evans et al. (2009),White-tailed Eagle Haliaeetus albicilla,4.25,Scotland,48,2,46,0.966,0.014,,,,adult,wild,3,apparent,indirect,
Buehler et al. (1991),Bald Eagle Haliaeetus leucocephalus,6.3,"Maryland, USA",39,2,37,0.9145,,,,,fifth year,,5,unknown true,indirect,
Bowman et al. (1995),Bald Eagle Haliaeetus leucocephalus,6.3,"Alaska, USA",41,6,35,0.86,0.05,,,male,sixth year and over,,5,unknown true,indirect,
Bowman et al. (1995),Bald Eagle Haliaeetus leucocephalus,6.3,"Alaska, USA",35,4,31,0.9,0.04,,,female,sixth year and over,,5,unknown true,indirect,
Bennetts et al. (1999),Snail Kite Rostrhamus sociabilis,2.7,"Florida, USA",282,39,243,0.861,0.034,,,,adult,1992-96,3,apparent,indirect,based on CJS model
Rivera-Parra et al. (2012),Galapago's Hawk Buteo galapagoensis,0.75,"Galapagos, Ecuador",198,12,186,0.94,,0.91,0.96,,adult,,3,apparent,indirect,
Schmutz et al. (2008),Ferruginous Hawk Buteo regalis,1.6,W. Canada,115,34,81,0.708,0.024,,,,adult,,4,TRUE,direct,*MATURE AT 2 YEARS OF AGE
Kenward et al. (2000),Common Buzzard Buteo buteo,1.03,S. England,33,4,29,0.88,,,,,third year and over,,5,unknown true,indirect,
Morrison (2003),Northern Crested Caracara Caracara cheriway,1.1,"Florida, USA",35,4,31,0.876,0.003,,,male,adult,,5,unknown true,indirect,
Morrison (2003),Northern Crested Caracara Caracara cheriway,1.1,"Florida, USA",26,2,24,0.906,0.002,,,female,adult,,5,unknown true,indirect,
Hiraldo et al. (1996),Lesser Kestrel Falco naumanni,0.17,S. Spain,263,85,178,0.687,,,,,adult,1988-1993,3,apparent,indirect,table 5; yearling to adult
Prugnolle et al. (2003),Lesser Kestrel Falco naumanni,0.17,S. France,104,34,70,0.67,0.06,,,,adult,,3,apparent,indirect,
Prugnolle et al. (2003),Lesser Kestrel Falco naumanni,0.17,S. Spain,582,192,390,0.67,0.06,,,,adult,,3,apparent,indirect,
Serrano et al. (2005),Lesser Kestrel Falco naumanni,0.17,N. Spain,1915,536,1379,0.72,0.015,,,,adult,large colony,3,apparent,indirect,
